node,market,energy_kwh,price_eur_mwh,cost_eur
8,bilateral,0.30990684896615084,38.0,0.01177646026071373
8,spot,22.50115983953279,39.06041666666667,0.7106456250761856
10,bilateral,0.30000000000000004,38.0,0.011400000000000002
10,spot,15.108178327618504,39.06041666666667,0.4555531133216755
11,bilateral,0.7637094169873276,38.0,0.02902095784551845
11,spot,26.22938616440308,39.06041666666667,0.8384735537377154
16,bilateral,0.0,38.0,0.0
16,spot,7.945459780922384,39.06041666666667,0.2256535230052067
20,bilateral,0.0,38.0,0.0
20,spot,11.123643693291335,39.06041666666667,0.32429810254425034
22,bilateral,0.0166662871397677,38.0,0.0006333189113111726
22,spot,12.298796373289928,39.06041666666667,0.36374287127941224
23,bilateral,0.19999999999999996,38.0,0.007599999999999998
23,spot,13.282156036666189,39.06041666666667,0.39351544571325453
24,bilateral,0.0999995592590851,38.0,0.0037999832518452337
24,spot,1.9743586073625277,39.06041666666667,-0.15645484044989533
25,bilateral,0.267281609038561,38.0,0.01015670114346532
25,spot,12.389434063594248,39.06041666666667,0.2522954366041225
28,bilateral,0.0,38.0,0.0
28,spot,-2.480201285147537,39.06041666666667,-0.3474675995395252
31,bilateral,0.0,38.0,0.0
31,spot,1.0082858491920392,39.06041666666667,-0.13017544811730739
32,bilateral,0.0,38.0,0.0
32,spot,3.2515839597810356,39.06041666666667,-0.09766436757846575
33,bilateral,0.07499999999999996,38.0,0.0028499999999999984
33,spot,10.999628172975799,39.06041666666667,0.31929623002039087
35,bilateral,0.09999999999999998,38.0,0.003799999999999999
35,spot,-5.1148454134640815,39.06041666666667,-0.4468243451834029
36,bilateral,0.0,38.0,0.0
36,spot,8.93850575757748,39.06041666666667,0.19826637355252733
38,bilateral,0.0,38.0,0.0
38,spot,-1.5634717675997483,39.06041666666667,-0.2765011740216529
42,bilateral,0.0,38.0,0.0
42,spot,14.336298418089907,39.06041666666667,0.43507019707099454
48,bilateral,0.0,38.0,0.0
48,spot,-4.282009658116291,39.06041666666667,-0.3961973357803171
54,bilateral,0.018863036061484317,38.0,0.000716795370336404
54,spot,15.322469088714678,39.06041666666667,0.4213021664030962
56,bilateral,0.0,38.0,0.0
56,spot,4.292657886849863,39.06041666666667,-0.046825594205649114
60,bilateral,0.0,38.0,0.0
60,spot,8.740005759014622,39.06041666666667,0.25025392642197714
62,bilateral,0.13199276712804908,38.0,0.005015725150865865
62,spot,-4.29393153558724,39.06041666666667,-0.36625006567700863
65,bilateral,0.7987144081827643,38.0,0.030351147510945045
65,spot,22.98620238336747,39.06041666666667,0.7340436956756473
68,bilateral,0.0,38.0,0.0
68,spot,9.534551737106861,39.06041666666667,0.27488073791488415
74,bilateral,0.050000000000000044,38.0,0.0019000000000000017
74,spot,6.561572023443377,39.06041666666667,0.18392637814908905
