node,t,dlmp_signal,spot_eur_mwh,adder_signal
8,0,49.36531518891764,31.0,18.36531518891764
8,1,40.80604548486923,31.0,9.80604548486923
8,2,40.40910650748972,31.0,9.409106507489717
8,3,40.81015481373203,31.0,9.810154813732026
8,4,32.39571033416463,30.94,1.4557103341646318
8,5,42.793800156625736,30.94,11.853800156625734
8,6,37.757139770021716,30.94,6.817139770021715
8,7,39.21517504476614,30.94,8.27517504476614
8,8,32.6355711744373,31.32,1.3155711744373022
8,9,32.63557117407854,31.32,1.315571174078542
8,10,32.63557117421979,31.32,1.3155711742197909
8,11,32.63557117386083,31.32,1.3155711738608318
8,12,39.646672461670086,29.03,10.616672461670085
8,13,37.50195726247616,29.03,8.47195726247616
8,14,30.48270918688354,29.03,1.4527091868835385
8,15,36.34381649761733,29.03,7.313816497617331
8,16,34.02894420734626,28.2,5.828944207346257
8,17,35.41917477239788,28.2,7.219174772397881
8,18,36.25121257857752,28.2,8.051212578577523
8,19,35.264597476596116,28.2,7.064597476596116
8,20,45.0825524312261,43.75,1.3325524312260981
8,21,45.082552476484494,43.75,1.3325524764844943
8,22,45.082552501673575,43.75,1.3325525016735753
8,23,45.082552519832454,43.75,1.3325525198324542
8,24,53.12255253585137,51.79,1.3325525358513701
8,25,53.1225525489017,51.79,1.3325525489017025
8,26,53.122552558774935,51.79,1.3325525587749354
8,27,53.12255256845344,51.79,1.332552568453444
8,28,53.732552577342844,52.4,1.3325525773428453
8,29,53.732552586179345,52.4,1.3325525861793466
8,30,53.732552593526606,52.4,1.3325525935266072
8,31,53.73255260026428,52.4,1.332552600264279
8,32,50.752552607752826,49.42,1.3325526077528238
8,33,50.75255261910694,49.42,1.3325526191069414
8,34,50.75394026932088,49.42,1.3339402693208768
8,35,50.75255261283169,49.42,1.332552612831691
8,36,50.71255262302594,49.38,1.33255262302594
8,37,50.71255261902221,49.38,1.3325526190222092
8,38,50.712552619092556,49.38,1.332552619092553
8,39,50.71255262850849,49.38,1.3325526285084877
8,40,47.712552616102016,46.38,1.3325526161020136
8,41,47.712552635847686,46.38,1.3325526358476836
8,42,47.71255262287087,46.38,1.332552622870864
