node,energy_shifted_kwh,net_shift_kwh,value_signal,dlmp_mean_signal,dlmp_max_signal
8,0.022595480778154674,-2.5479956237172904e-05,0.0003827271514631513,46.61650111737837,106.16934961900637
10,0.02310933478843956,-1.7789772022518656e-05,0.00039088928704632454,46.632816455914515,106.21085141052905
11,0.0223322168986322,-2.779302963816597e-05,0.0003765796649239184,46.68319326107883,106.38192421459749
16,1.101947678461595,-0.001148526400966715,1.2605078437173278,334.1160062540046,4045.5691572983465
20,3.193000242175862,-0.0035993577381592257,9.915326441872129,888.697325128226,12775.55351881699
22,4.207242124515926,-0.004395456156123911,16.573637393510648,1157.5162374521074,15671.957264678507
23,5.439399319695198,-0.0052649129487973845,28.036136385817972,1484.0534779332538,18586.862584172395
24,5.1623943970503205,-1.4206071748012414,37.38159920670718,1491.602865836138,18357.482634502514
25,6.307331805457678,-0.006012444889615276,40.897039516501465,1757.4641850897935,21494.04518493538
28,0.02549551149397731,-1.7592480681414245e-05,0.0004883307521185021,47.32550536645746,114.37592397230424
31,0.024223914400842123,-0.005204833276294682,0.0007403811237667892,46.99514867222203,114.35179144581917
32,0.025833133631773697,-1.8075094394942592e-05,0.0004982728660234624,47.349067941439806,114.64036165272267
33,0.024515164099245118,-0.0052482209962644594,0.0007581030181464783,47.00052081405169,114.33968603941676
35,0.18698352184432498,-3.605672882293562e-05,0.02795635108225102,96.81929398099133,619.6267066452084
36,0.1942772185622483,-1.6461133038454118e-05,0.02929963615564966,99.43778630094555,619.401591796156
38,0.1962480472840582,-1.600571610366197e-05,0.029413466943220456,99.49632683307395,619.5953523873892
42,1.5024920048505699,-0.06915854282699477,1.8658264969936067,499.10644926676764,4619.924942919911
48,2.9358386721210756,-3.527923990853665e-05,6.69672275114868,927.1948098923972,8701.056686041493
54,2.6196468382210796,-0.1401618706900002,6.125307795393745,877.0803305906397,8717.244072123489
56,0.055361708147293597,-0.0044314457381346845,0.005847344757427404,54.47199894932507,407.716591223847
60,0.05318649485549213,-3.2898447720931465e-05,0.005663213509308524,54.251103738662046,406.9286223718231
62,0.06392411069469695,-0.004492217402662026,0.012541293211426916,56.32200923259362,606.9083426574107
65,0.45710045609490313,-0.004511637898273968,0.5703400814048041,142.75453656627784,3608.85473075578
68,0.7281043955100612,-3.0539887696960644e-05,1.544153823216799,199.06036277245394,6135.213548289693
74,0.35273467825698424,-0.004590274158435992,0.3548654301305174,118.61878957198296,2579.4761625216893
